answer,question
Сопровождение 1С Облачная бухгалтерия,"Если заявка непонятная, то уточните информацию у пользователя:
 ""Здравствуйте! Для оперативного решения заявки просим ответить на следующие вопросы:
 1) Какую 1С вы используете: Для бухгалтерии(облачная); Для бухгалтерии (локальная); Для управления кадрами (ГИС управление кадрами)
 2) Уточните, пожалуйста, корректно ли работает интернет (например, Яндекс, портал Admhmao)?
 3) Укажите, пожалуйста, подрядчика и его контакты, который обслуживает вашу организацию в части сопровождения 1С.
 4) Приложите, пожалуйста, скриншоты ошибок.""
 
 Если инициатор бухгалтерия, то вероятно речь идёт об Облачной 1С. Тогда назначаем категорию и группу ""Облачная 1С"".
 
 Заявки, связанные с сопровождением ИС Облачная 1С.
 Если просят вытащить ярлык RDP, то направить заявку на категорию ""Сопровождение технических средств"" // уточнить этот момент у Гончаренко
 --
 В случае заведения учетных записей необходимо направить заявку на согласование Скутарь, Котову. После получения любого согласования добавляем группу ""1С Облачная"" (пример, 276984)"
Какая версия 1С используется в вашей организации: облачная или локальная?,"Если заявка непонятная, то уточните информацию у пользователя:
 ""Здравствуйте! Для оперативного решения заявки просим ответить на следующие вопросы:
 1) Какую 1С вы используете: Для бухгалтерии(облачная); Для бухгалтерии (локальная); Для управления кадрами (ГИС управление кадрами)
 2) Уточните, пожалуйста, корректно ли работает интернет (например, Яндекс, портал Admhmao)?
 3) Укажите, пожалуйста, подрядчика и его контакты, который обслуживает вашу организацию в части сопровождения 1С.
 4) Приложите, пожалуйста, скриншоты ошибок.""
 
 Если инициатор бухгалтерия, то вероятно речь идёт об Облачной 1С. Тогда назначаем категорию и группу ""Облачная 1С"".
 
 Заявки, связанные с сопровождением ИС Облачная 1С.
 Если просят вытащить ярлык RDP, то направить заявку на категорию ""Сопровождение технических средств"" // уточнить этот момент у Гончаренко
 --
 В случае заведения учетных записей необходимо направить заявку на согласование Скутарь, Котову. После получения любого согласования добавляем группу ""1С Облачная"" (пример, 276984)"
Возникают ли у вас проблемы с подключением к 1С через интернет?,"Если заявка непонятная, то уточните информацию у пользователя:
 ""Здравствуйте! Для оперативного решения заявки просим ответить на следующие вопросы:
 1) Какую 1С вы используете: Для бухгалтерии(облачная); Для бухгалтерии (локальная); Для управления кадрами (ГИС управление кадрами)
 2) Уточните, пожалуйста, корректно ли работает интернет (например, Яндекс, портал Admhmao)?
 3) Укажите, пожалуйста, подрядчика и его контакты, который обслуживает вашу организацию в части сопровождения 1С.
 4) Приложите, пожалуйста, скриншоты ошибок.""
 
 Если инициатор бухгалтерия, то вероятно речь идёт об Облачной 1С. Тогда назначаем категорию и группу ""Облачная 1С"".
 
 Заявки, связанные с сопровождением ИС Облачная 1С.
 Если просят вытащить ярлык RDP, то направить заявку на категорию ""Сопровождение технических средств"" // уточнить этот момент у Гончаренко
 --
 В случае заведения учетных записей необходимо направить заявку на согласование Скутарь, Котову. После получения любого согласования добавляем группу ""1С Облачная"" (пример, 276984)"
"Какой подрядчик обслуживает вашу организацию по части сопровождения 1С, и как с ним можно связаться?","Если заявка непонятная, то уточните информацию у пользователя:
 ""Здравствуйте! Для оперативного решения заявки просим ответить на следующие вопросы:
 1) Какую 1С вы используете: Для бухгалтерии(облачная); Для бухгалтерии (локальная); Для управления кадрами (ГИС управление кадрами)
 2) Уточните, пожалуйста, корректно ли работает интернет (например, Яндекс, портал Admhmao)?
 3) Укажите, пожалуйста, подрядчика и его контакты, который обслуживает вашу организацию в части сопровождения 1С.
 4) Приложите, пожалуйста, скриншоты ошибок.""
 
 Если инициатор бухгалтерия, то вероятно речь идёт об Облачной 1С. Тогда назначаем категорию и группу ""Облачная 1С"".
 
 Заявки, связанные с сопровождением ИС Облачная 1С.
 Если просят вытащить ярлык RDP, то направить заявку на категорию ""Сопровождение технических средств"" // уточнить этот момент у Гончаренко
 --
 В случае заведения учетных записей необходимо направить заявку на согласование Скутарь, Котову. После получения любого согласования добавляем группу ""1С Облачная"" (пример, 276984)"
"При возникновении ошибок в 1С, как правильно прикрепить скриншоты для решения проблемы?","Если заявка непонятная, то уточните информацию у пользователя:
 ""Здравствуйте! Для оперативного решения заявки просим ответить на следующие вопросы:
 1) Какую 1С вы используете: Для бухгалтерии(облачная); Для бухгалтерии (локальная); Для управления кадрами (ГИС управление кадрами)
 2) Уточните, пожалуйста, корректно ли работает интернет (например, Яндекс, портал Admhmao)?
 3) Укажите, пожалуйста, подрядчика и его контакты, который обслуживает вашу организацию в части сопровождения 1С.
 4) Приложите, пожалуйста, скриншоты ошибок.""
 
 Если инициатор бухгалтерия, то вероятно речь идёт об Облачной 1С. Тогда назначаем категорию и группу ""Облачная 1С"".
 
 Заявки, связанные с сопровождением ИС Облачная 1С.
 Если просят вытащить ярлык RDP, то направить заявку на категорию ""Сопровождение технических средств"" // уточнить этот момент у Гончаренко
 --
 В случае заведения учетных записей необходимо направить заявку на согласование Скутарь, Котову. После получения любого согласования добавляем группу ""1С Облачная"" (пример, 276984)"
"Как проверить, работает ли интернет-соединение для работы в 1С (например, через Яндекс или портал Admhmao)?","Если заявка непонятная, то уточните информацию у пользователя:
 ""Здравствуйте! Для оперативного решения заявки просим ответить на следующие вопросы:
 1) Какую 1С вы используете: Для бухгалтерии(облачная); Для бухгалтерии (локальная); Для управления кадрами (ГИС управление кадрами)
 2) Уточните, пожалуйста, корректно ли работает интернет (например, Яндекс, портал Admhmao)?
 3) Укажите, пожалуйста, подрядчика и его контакты, который обслуживает вашу организацию в части сопровождения 1С.
 4) Приложите, пожалуйста, скриншоты ошибок.""
 
 Если инициатор бухгалтерия, то вероятно речь идёт об Облачной 1С. Тогда назначаем категорию и группу ""Облачная 1С"".
 
 Заявки, связанные с сопровождением ИС Облачная 1С.
 Если просят вытащить ярлык RDP, то направить заявку на категорию ""Сопровождение технических средств"" // уточнить этот момент у Гончаренко
 --
 В случае заведения учетных записей необходимо направить заявку на согласование Скутарь, Котову. После получения любого согласования добавляем группу ""1С Облачная"" (пример, 276984)"
Сопровождение АИС ''Гостакси'',"ИС Гостакси (Единая транспортная служба (ЕТС),
 http://192.168.210.137/govtaxi/client/support.html#/login)
 ссылка на скачивание приложения на телефон: http://portal/P_instruk/Ais_ETS.htm
 Если просят предоставить транспортное средство для командировки и пр., то закрываем заявку с комментарием ""Заявка на подачу транспорта создается путем направления письма по Делу в Департамент административного обеспечения Югры"" и прикрепляем файл из заявки 379325 . Вся инфа в заявке
 Категория и группа: АИС ""Гостакси"""
Процессы IT: Сопровождение ИС,"ИС Гостакси (Единая транспортная служба (ЕТС),
 http://192.168.210.137/govtaxi/client/support.html#/login)
 ссылка на скачивание приложения на телефон: http://portal/P_instruk/Ais_ETS.htm
 Если просят предоставить транспортное средство для командировки и пр., то закрываем заявку с комментарием ""Заявка на подачу транспорта создается путем направления письма по Делу в Департамент административного обеспечения Югры"" и прикрепляем файл из заявки 379325 . Вся инфа в заявке
 Категория и группа: АИС ""Гостакси"""
"Как я могу войти в систему АИС ""Гостакси""?","ИС Гостакси (Единая транспортная служба (ЕТС),
 http://192.168.210.137/govtaxi/client/support.html#/login)
 ссылка на скачивание приложения на телефон: http://portal/P_instruk/Ais_ETS.htm
 Если просят предоставить транспортное средство для командировки и пр., то закрываем заявку с комментарием ""Заявка на подачу транспорта создается путем направления письма по Делу в Департамент административного обеспечения Югры"" и прикрепляем файл из заявки 379325 . Вся инфа в заявке
 Категория и группа: АИС ""Гостакси"""
"Как загрузить мобильное приложение АИС ""Гостакси"" на телефон?","ИС Гостакси (Единая транспортная служба (ЕТС),
 http://192.168.210.137/govtaxi/client/support.html#/login)
 ссылка на скачивание приложения на телефон: http://portal/P_instruk/Ais_ETS.htm
 Если просят предоставить транспортное средство для командировки и пр., то закрываем заявку с комментарием ""Заявка на подачу транспорта создается путем направления письма по Делу в Департамент административного обеспечения Югры"" и прикрепляем файл из заявки 379325 . Вся инфа в заявке
 Категория и группа: АИС ""Гостакси"""
